ID,KEY,English,French,Spanish, 
0,T_TITLE,KOI,KOÏ,KOI, 
1,T_PRESSTOSTART,Press any button,Appuye sur un bouton,Pulsa cualquier botón, 
2,T_NEWGAME,New Game,Nouvelle Partie,Nueva Partida, 
3,T_SETTINGS,Settings,Paramêtre,Configuración, 
4,T_QUIT,Quit,Quitter,Salir, 
5,T_OPTION,Option,Option,Opción, 
6,T_AUDIO,Audio,Audio,Audio,  
7,T_MASTERVOLUME,Master Volume,Volume Principal,Volumen Principal, 
8,T_MUSICVOLUME,Music Volume,Volume Musique,Volumen de Música,
9,T_SFXVOLUME,SFX Volume,Volume SFX,Volumen de Efectos, 
10,T_VIDEO,Video,Vidéo,Video,  
11,T_SCREENSIZE,Screen Size,Taille d'écran,Tamaño de Pantalla,  
12,T_SCREENTYPE,Screen Type,Type d'écran,Tipo de Pantalla,
13,T_CONTROLS,Controls,Controls,Controles, 
14,T_KEYBOARD,Keyboard,Clavier,Teclado,  
15,T_CONTROLLER,Controller,Manette,Mando,  
16,T_CLOSE,Close,Fermer,Cerrar,  
17,T_SHAKE,Use screen shake,Utiliser le tremblement d'écran,Usar la sacudida de pantalla,  
18,T_PARALLAX,Use parallax,Utiliser la parallaxe,Usar el paralaje,
19,T_ACCESSIBILITY,Accessibility,Accessibilité,Accesibilidad,
20,T_LANGUAGE,Language,Langue,Idioma,  
21,T_GENERAL,Global,General,Global,  
22,T_RESTART,Restart,Recommencer,Restado,  
23,T_CONTINUE,Resume,Continuer,Continuar,  
24,T_UIVOLUME,UI Volume,Volume UI,Volumen UI,
25,T_AMBIENCEVOLUME,Ambience Volume,Volume Ambiance,Volumen de Ambiente,
26,Interact,Interact,Interagir,Interactuar,
27,Switch,Switch,Changer,Intercambiar,
28,Jump,Jump,Sauter,Saltar,
29,Look,Look,Regarder,Mira,
30,Move,Move,Déplacer,Mover,
31,Zoom,Zoom,Zoomer,Acercar,
32,Dezoom,Dezoom,Dézoomer,Desacercar,
33,Pause,Pause,Pause,Pausa,
34,Restart,Restart,Recommencer,Reiniciar,
